0,3
0,4
0,7
0,10
0,14
0,60
0,82
0,105
1,16
1,35
1,44
1,46
1,80
1,84
1,88
2,85
3,4
3,10
3,28
3,29
3,53
3,54
3,60
3,73
4,14
4,28
4,29
4,53
4,54
4,73
4,80
5,9
5,20
5,21
5,58
5,113
5,116
6,7
6,26
6,40
6,56
6,79
6,90
6,93
6,96
6,100
6,106
6,123
7,8
7,26
7,40
7,56
7,79
7,90
7,96
7,104
7,105
7,106
7,123
8,93
8,111
8,124
9,87
9,90
9,93
9,99
10,29
11,37
11,47
11,51
11,63
11,67
11,68
11,118
12,37
12,63
13,56
14,82
15,52
15,116
16,27
16,35
16,44
16,56
16,57
16,58
16,61
16,62
16,78
16,80
16,88
17,33
17,75
18,79
19,43
20,27
20,72
20,90
20,116
22,27
23,34
23,37
24,47
24,48
24,118
24,121
25,121
26,28
26,40
26,79
26,90
26,93
26,96
26,106
26,123
27,35
27,38
27,67
27,80
27,88
27,103
28,29
28,53
28,54
28,73
29,53
29,54
29,73
30,66
31,66
32,88
34,36
35,37
35,47
35,51
35,59
35,63
35,64
35,67
35,68
35,80
35,99
35,118
36,82
36,92
37,47
37,51
37,61
37,62
37,65
37,67
37,126
38,56
38,58
38,74
38,90
38,102
38,113
38,117
38,121
39,49
40,56
40,79
40,90
40,96
40,103
40,104
40,119
40,123
41,55
42,74
42,93
43,54
44,80
44,84
45,83
45,104
45,105
45,111
46,80
46,88
47,48
47,51
47,61
47,68
47,118
49,93
50,96
50,104
51,61
51,68
51,118
52,116
53,54
53,67
53,73
54,73
55,71
56,58
56,74
56,90
56,91
56,102
56,103
56,113
56,117
56,120
57,57
57,58
58,90
58,93
58,102
58,103
58,117
61,63
61,64
61,67
61,68
61,77
61,91
61,99
61,118
62,63
62,64
64,93
67,86
67,91
67,103
68,118
69,95
70,122
71,97
72,116
74,80
74,90
74,93
74,117
74,121
76,108
76,117
79,90
79,93
79,96
79,104
79,105
79,123
80,88
80,90
83,104
83,105
83,111
84,89
86,102
86,103
89,94
89,112
90,95
90,96
90,103
90,104
90,113
90,117
90,123
93,93
93,96
93,106
93,111
93,124
94,126
96,98
96,104
96,123
96,126
98,98
98,117
98,126
100,107
101,107
104,105
104,111
104,123
105,111
105,123
111,124
114,116
117,121
