index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,ATP10A,1,2.57330002459,-0.346944921224,-0.51770037857,-0.460876973137,-0.418264487971,-0.55949612371,-0.476207786947,-0.040645235488,0.246835882454
1,CDKL5,1,2.21424073503,0.709413422081,-0.163192354087,-0.921639546881,-0.38051633,-0.126029370065,-0.207376772884,-1.22631674517,0.101416961971
2,DOC2A,1,2.28692686657,-0.0692942978645,-0.489548778987,0.771274283881,-0.268098869145,-0.0129536125746,-0.478801746793,-1.11100806575,-0.628495779333
3,GABRA5,1,2.65895707777,-0.412027190115,-0.378726799874,-0.367655018328,-0.375447476741,-0.29592075152,-0.330761529327,-0.347781861832,-0.150636450031
4,GABRB3,1,2.65893317452,-0.364274625023,-0.311185871838,-0.355616939201,-0.401736234589,-0.411977527516,-0.365821083409,-0.289886981317,-0.158433911628
5,HRAS,1,2.6097681072,-0.294985293,-0.372717438774,-0.228364671735,-0.510367888298,-0.656434718815,-0.220468999441,-0.405865442022,0.0794363448866
6,HTR1A,1,2.6664267608,-0.311343781258,-0.338595646896,-0.332684705859,-0.344463532605,-0.344943862106,-0.345083069499,-0.338447259421,-0.310864903151
7,HTR3A,1,2.66511434577,-0.33093393695,-0.357061264736,-0.344203324772,-0.362526763259,-0.381488015581,-0.324277515149,-0.273227485219,-0.291396040099
8,HTR7,1,2.6484240976,-0.388587844502,-0.405365679245,-0.37631567639,-0.409570990114,-0.394885489651,-0.37208206443,-0.254007603237,-0.0476087500349
9,MBP,1,2.17119118191,-0.732464923465,-0.688360691257,-0.59581480366,-0.684968672837,-0.47925504676,-0.243985091512,0.193030217701,1.06062782988
10,NIPA2,1,2.53403347163,0.154624538662,0.0467772280675,-0.407854804731,-0.841685381517,-0.115981532537,-0.377556655475,-0.37491246898,-0.617444395118
11,NLGN4X,1,2.64600758893,-0.156645419972,-0.223633050529,-0.463463334565,-0.315997515439,-0.408950131053,-0.167582526774,-0.442456829568,-0.467278781029
12,NLGN4Y,1,2.63535206767,-0.263880108881,-0.300057920222,-0.433554891155,-0.188806605308,-0.414808245771,-0.0360749296584,-0.492159704767,-0.506009661903
13,SLC1A1,1,2.63952193691,-0.2105867064,-0.201805694284,-0.216024074636,-0.18351933607,-0.548531170951,-0.481378065154,-0.307322323666,-0.490354565747
14,SNRPN,1,2.65136088758,-0.446815954181,-0.345891850009,-0.317843192874,-0.521935094434,-0.173223678183,-0.20378452834,-0.31717158796,-0.324695001598
15,ATG4C,2,2.22551124646,0.757238155553,0.359910653673,-0.340973069425,-0.305289502276,-0.352000427376,-0.686686107505,-0.541414029881,-1.11629691923
16,DLG3,2,1.36564276526,1.18754723995,1.01294164809,0.291901020628,-0.125432826727,-1.0766536244,-1.10165985603,-0.869394167144,-0.684892199626
17,DOCK4,2,1.32298674376,1.82298330293,0.621635563401,-0.47599361366,-0.503745508763,-0.628410469133,-0.482850254398,-0.9526055318,-0.724000232339
18,GLO1,2,1.85728465575,1.05345791731,0.129895951716,-0.759582839892,-0.0586431587404,0.0124804105627,-0.2332377097,-0.374100144343,-1.62755508266
19,IQCB1,2,-0.10615406527,1.26263680887,1.34780224734,0.427284613332,0.298478343812,0.172423724266,-0.701438369041,-1.08906774287,-1.61196556044
20,MTOR,2,2.15585551444,0.881150360848,0.0843945370305,-0.881902708885,-0.455565939454,0.295156595142,-0.550004647812,-0.875840698957,-0.653243012356
21,PTER,2,0.612229970855,1.22435801867,1.77007659998,0.00815176069744,-0.374667839196,-0.872422838276,-1.10359491208,-0.825005352163,-0.439125408479
22,UPF3B,2,0.891142088497,1.79115681893,0.719869899669,-0.0375640334866,0.229376251232,-0.55299510226,-0.862347535416,-1.05253354103,-1.12610484613
23,APBA2,3,-1.29288926476,2.04586750342,0.46653773459,0.367352742508,0.644759889031,-0.627851662908,-0.263497971572,-0.749951598971,-0.590327371334
24,CDH8,3,-1.33240498755,0.770411085724,1.78287670836,0.0602789729039,0.71144311297,0.297916757575,-0.520723163135,-0.793441208549,-0.976357278293
25,DLX1,3,-0.598117938542,-0.58121520635,-0.366720510945,2.57793125251,-0.179539824425,0.0461045210435,-0.619464240915,-0.322819113264,0.0438410608885
26,DRD4,3,-0.998870518542,0.778947315853,1.70982446349,1.27365504574,-0.066814153209,-0.567753204238,-0.799241554944,-0.658057041606,-0.671690352538
27,FMR1,3,-1.7524772762,0.0172804897621,0.103746060125,-0.357079299029,1.68635149279,0.671948411653,0.830014600897,-0.392173381697,-0.807611098298
28,GABRB2,3,-0.713619493495,1.93853090948,0.851356156094,-0.776346100456,-0.693899953131,-0.0863025804127,-0.92861847599,-0.492130301441,0.901029839356
29,GABRG3,3,-1.80371646724,0.643761429172,0.738019444306,-0.341813734645,0.62155689682,-0.847259366573,-0.890005488151,0.875706092164,1.00375119414
30,HOXA1,3,-1.4370168885,-0.13407627088,0.0717109656601,1.55490456843,-0.628807865425,1.52958158901,-0.612327228758,0.231137284128,-0.575106153658
31,HOXB1,3,-0.475469639629,2.06818044168,-0.0414084723298,1.10238945948,0.278830565223,-0.53581210887,-0.798903415184,-0.798903415184,-0.798903415184
32,IL1RAPL1,3,-1.39510792375,1.91393439912,-0.311964950477,-0.820139222316,-0.357702124069,-0.360063163058,-0.0149842533849,0.19506851688,1.15095872105
33,LRRN3,3,-2.04954725438,1.46126024701,-0.101357105185,-0.0690030487818,-0.79490193104,-0.128700048661,0.482950176435,0.754902824297,0.444396140309
