index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
32,CYCS,1,2.57705013997,-0.182876572163,0.184247464502,-0.519075526577,-0.518429352185,-0.0647913923704,-0.431805774034,-0.429267116887,-0.615051870255
33,CYP2B6,1,2.66534704113,-0.353725230329,-0.336366915637,-0.343629926992,-0.29442566674,-0.372112407793,-0.287447510438,-0.371998206667,-0.305641176538
34,DARS2,1,2.45706666691,0.316378156353,0.269634699012,-0.171706298909,-0.318758003485,-0.77900807375,-0.545194665572,-0.601048462361,-0.627364018195
35,DPP4,1,2.42583226106,-0.677318309461,-0.0451338993035,0.0242099502133,0.409886793011,-0.105493255033,-0.42348445446,-0.773878419406,-0.834620666625
36,DPP9,1,2.49940518209,-0.596419995516,-0.52275574849,-0.537865202026,-0.617928558033,0.484511427851,-0.238511728853,-0.394206340961,-0.0762290360655
37,DSG3,1,2.26663977808,-0.66075444452,-0.771488092392,-0.467786723197,0.38101993404,0.0976923051397,0.618479399821,-0.771488092392,-0.692314064586
38,EDN1,1,2.63562926125,-0.387565358793,-0.607948271293,-0.286743315224,-0.453035461128,-0.196289163076,-0.0907321000293,-0.231332586161,-0.381983005547
39,EDNRB,1,2.39496016154,-0.976790446987,-0.463436230327,0.253376079259,0.110318680016,-0.183295373872,0.230332492627,-0.681092551642,-0.684372810611
40,EEF1E1,1,2.59894376823,0.0214126443362,0.0576917969416,-0.311610978015,-0.448539508851,-0.415137931222,-0.49958455288,-0.405903646865,-0.597271591676
41,EIF2AK3,1,1.38802533099,-0.839085668292,0.211495556347,-0.128805940308,-0.239067743904,1.86192918642,-0.523771022465,-0.942930713419,-0.787788985373
42,EIF2B5,1,2.34529540815,0.340156832341,0.343889346475,-0.00204173506393,-0.547340983967,-0.969859450247,-0.918297266177,-0.355165138734,-0.236637012776
43,EIF2S1,1,2.46631482853,-0.111344211107,0.499292681811,-0.626941663582,-0.657261582976,-0.0700574198039,-0.303220876132,-0.504695668519,-0.692086088222
44,EIF4EBP1,1,2.65100782168,-0.425397475518,-0.387815405518,-0.313771586781,-0.0772848120856,-0.364702058426,-0.454014043051,-0.317598846434,-0.310423593869
45,ELMO1,1,2.51579784729,-0.240285614187,0.343801485367,-0.660639387001,-0.740398692085,-0.353785890336,-0.466021265175,-0.409544832277,0.0110763484042
