index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
36,SLC25A19,1,2.62795951299,-0.19556389221,-0.267777232188,-0.281336282984,-0.0119563204014,-0.486846339568,-0.541354160267,-0.519215214939,-0.323910070434
37,TBCD,1,1.96894404482,0.611248678995,-0.21065810605,0.362946333047,0.222931020103,-1.64449844597,-0.813258526664,-0.379660339261,-0.117994659028
38,TP53,1,2.48324998556,0.24704825338,0.104381007638,-0.494796055635,-0.49019017482,-0.123427496283,-0.173438740116,-0.889286955137,-0.663539824587
39,TRIP13,1,2.50957578422,0.00267784714145,0.313163315893,-0.113746886474,-0.246377361438,-0.618172221421,-0.549108251341,-0.602983540913,-0.695028685671
40,TRPV6,1,2.55370070035,-0.279719049287,0.19140045232,-0.00453397505862,-0.773001737525,-0.509810607991,-0.365283971754,-0.260496467365,-0.552255343692
41,TUBB6,1,2.63121823816,-0.200064184603,-0.246545348089,-0.0284510472159,-0.497389667656,-0.26659022058,-0.41518284829,-0.547521486568,-0.429473435155
42,TXNL4A,1,2.39175787986,-0.346699827911,-0.682201610443,-0.516993536555,-0.679971029957,0.122384841065,-0.3623512893,0.675485205544,-0.601410632304
43,WDR4,1,2.61617578826,0.100648459661,-0.187430454043,-0.389276468814,-0.27537883012,-0.525142261701,-0.503369218665,-0.46394751672,-0.372279497861
44,WDR62,1,2.36891432372,0.28760955383,0.632115734887,-0.316830227047,-0.477077993193,-0.557807614031,-0.541519015096,-0.698464084539,-0.696940678532
45,AP4E1,2,1.69673023674,1.24867649036,0.921170401806,-0.263391021201,-0.610649720619,-0.867839835841,-0.793436304787,-0.631891174617,-0.699369071846
46,AP4S1,2,2.02995007676,0.925556452512,0.571347128838,-0.751462306595,-0.567052631538,-1.00816886035,-0.821424378789,-0.342832151332,-0.0359133295021
47,ASPM,2,1.09868208476,1.20418418019,1.57846318032,-0.241493085787,-0.599525786056,-0.782757477214,-0.467359990917,-0.892673723754,-0.897519381538
48,BUB1B,2,2.21745633522,0.628529998472,0.672185593687,-0.299980990867,-0.435691887123,-0.768831581109,-0.576472393265,-0.718009090573,-0.719185984441
49,CASC5,2,1.13223902551,1.11958330492,1.60416599393,-0.227633970843,-0.470481194934,-0.796879194336,-0.498752951584,-0.943529075816,-0.91871193685
50,CDT1,2,2.30089223592,0.789369050585,-0.0515560407071,0.00723736300253,-0.197532628988,-0.797247607391,-0.686826010232,-0.721035300622,-0.643301061568
51,CENPE,2,1.21215439461,1.17460129708,1.46763265249,-0.126529780799,-0.445541217222,-0.841460228565,-0.57065717159,-0.936174551649,-0.934025394354
52,CENPF,2,1.03639929121,1.05888902779,1.6239337666,-0.0293787596918,-0.389665390128,-0.794206227979,-0.395707327127,-1.03498609357,-1.07527828711
53,CENPJ,2,1.86894380697,0.667901155773,1.04549553863,-0.0432509041018,-0.297451498644,-0.393020075628,-0.842478721831,-0.980536208546,-1.02560309262
54,CENPL,2,0.893695809756,1.13982083793,1.6693192234,0.0605418990412,-0.545244443935,-0.551552798165,-0.591468936848,-1.098558713,-0.976552878189
55,CEP135,2,1.52733295027,0.996210633337,0.769934936678,0.237924130967,-0.225457154166,-1.48988198965,-0.302934796602,-0.247505064162,-1.26562364667
56,CEP152,2,1.68450557394,0.487850199951,0.888898478538,0.754922073159,-0.201669296186,-1.26573191567,-0.60416984024,-0.740388746859,-1.00421652664
57,CEP192,2,0.564397526669,1.88300783012,1.11178415842,0.143532826221,-0.415203927752,-0.852158408838,-0.847053485693,-0.765477537032,-0.82282898211
58,CEP76,2,1.69647761836,0.904839918053,1.18565829257,-0.311958266317,-0.739795692461,-0.573694511963,-0.383940076522,-0.575437970407,-1.20214931131
59,CHEK1,2,2.03192671441,0.902827678696,0.65281321517,-0.33108829212,-0.14935846178,-0.549107796691,-0.752353507806,-0.890079666148,-0.915579883729
