index,symbol,cluster,d0,d7,d12,d19,d26,d33,d49,d63,d77
0,NLGN4X,1,2.64600758893,-0.156645419972,-0.223633050529,-0.463463334565,-0.315997515439,-0.408950131053,-0.167582526774,-0.442456829568,-0.467278781029
1,FMR1,3,-1.7524772762,0.0172804897621,0.103746060125,-0.357079299029,1.68635149279,0.671948411653,0.830014600897,-0.392173381697,-0.807611098298
2,NLGN3,3,-2.30757759436,0.0388810560109,0.771316755439,-0.0688433321721,0.647283053708,0.0836423657832,1.24853918828,-0.163613766639,-0.249627726054
3,NRXN1,3,-0.614203552526,1.645720646,0.204259984245,-1.00556937025,-0.651886803919,-0.948200643438,-0.48973675246,0.396659134535,1.46295735782
4,AVPR1A,4,-0.92177889727,-1.00741106315,-0.534045989233,-0.0338555298598,2.14441954418,0.906345722606,-0.518767923033,-0.299736637683,0.264830773443
5,CNTN4,4,-2.12463694778,-0.887595012769,-0.0151455959715,-0.0190492924462,0.231742594645,0.295923950718,0.385819518531,0.808933835118,1.32400694996
6,EPHX2,4,-1.72573965978,-0.914584224037,-1.03080592124,0.586690164787,-0.0893253789902,0.731629567825,0.753219835772,1.19214529669,0.49677031898
7,OXTR,5,-1.01109669919,-1.06242596675,-0.772958352269,-0.667641420913,-0.655830422939,0.916202513314,1.07977287691,1.14692941488,1.02704805697
8,AGT,6,-1.00115385155,-0.767622600724,-0.574662796501,-0.463536569935,-0.347291294031,-0.236944604289,0.105577982499,1.27015897488,2.01547475965
9,HPD,6,0.106928035681,-1.13038779485,-0.772715782214,-0.290300197888,0.423506253988,-0.771762430233,-0.124609656702,0.288759856867,2.27058171535
